Trading_time,Is_it_best_bid_or_ask,The_price_of_the_customer_order,bid_ask_spread,mid_price,micro_price,best_bid,best_ask,time_elapsed,LOB_imbalance,total_quantity_of_all_quotes,p*,Smith's_metric,Trading_price
2.5,0,126,574,314,409.6667,27,601,0,0.5,3,0,0,112
4.1625,0,111,519,340.5,392.4,81,600,1.6625,0.5,5,0,0,82
5.975,0,119,274,214,259.6667,77,351,1.8125,0.5,6,0,0,119
7.425,0,124,63,109.5,114,78,141,1.45,0.5,7,94.5067,145.3914,115
8.9875,0,96,2,82,82.1111,81,83,1.5625,0.5,9,96.1733,158.1498,82
9.125,1,129,67,110.5,118.875,77,144,0.1375,0.5,8,93.9633,155.837,83
12.3375,0,134,20,104,106,94,114,3.2125,0.5,15,83.3167,169.9314,98
13.0625,1,142,23,105.5,106.2667,94,117,0.725,0.5,15,79.7067,170.9861,114
13.9,0,150,36,119,122.6,101,137,0.8375,0.5,15,89.81,144.7271,114
14.9,1,139,18,130,132.25,121,139,1,0.5,16,98.66,125.5902,137
15.5625,0,132,11,126.5,127.875,121,132,0.6625,0.5,16,110.6467,107.3481,122
15.7,1,121,31,116.5,118.4375,101,132,0.1375,0.5,16,112.5467,101.8261,121
19.4875,0,116,16,109,109.3478,101,117,3.7875,0.5,23,113.9233,97.5977,114
22.025,0,137,8,108,108.1379,104,112,2.5375,0.5,29,107.24,100.768,110
24.1875,0,114,6,107,107.1875,104,110,2.1625,0.5,32,103.5367,101.5978,106
26.0875,0,106,3,102.5,102.5,101,104,1.9,0.5,38,99.1133,103.5892,103
26.3,1,101,11,98.5,98.5,93,104,0.2125,0.5,36,95.8333,104.7958,101
27.2875,1,93,11,95.5,95.3429,90,101,0.9875,0.5,35,93.1867,105.5972,93
28.2,1,91,13,93.5,93.5,87,100,0.9125,0.5,34,89.11,108.3198,90
28.625,0,147,15,94.5,94.0588,87,102,0.425,0.5,34,85.17,111.2005,98
28.7875,1,144,24,99,98.6364,87,111,0.1625,0.5,33,84.7767,109.5379,102
31.3125,0,108,11,87.5,87.359,82,93,2.525,0.5,39,87.7,104.2079,92
33.925,1,83,5,82.5,82,80,85,2.6125,0.5,35,87.7267,102.7173,82
34.575,1,98,13,86.5,85.4737,80,93,0.65,0.5,38,82.4733,107.637,85
36.625,1,80,18,84,82.5,75,93,2.05,0.5,36,77.7733,112.5669,80
38.0375,0,139,6,90,89.6154,87,93,1.4125,0.5,39,74.3067,116.0147,88
41.8125,0,129,3,91.5,91.3571,90,93,3.775,0.5,42,76.2833,111.2805,92
42.975,1,108,5,93.5,93.3171,91,96,1.1625,0.5,41,78.6667,106.2621,93
44.375,1,142,6,95,94.85,92,98,1.4,0.5,40,82.36,99.9631,96
45.2125,1,150,10,98,97.878,93,103,0.8375,0.5,41,84.74,95.682,98
45.4875,1,147,17,102.5,102.9048,94,111,0.275,0.5,42,86.5767,92.2105,103
46.1625,1,137,17,105.5,106.122,97,114,0.675,0.5,41,89.6533,87.6854,111
46.4375,1,119,18,107,107.9,98,116,0.275,0.5,40,94.36,82.0627,114
48.7625,0,132,3,114.5,114.6744,113,116,2.325,0.5,43,99.11,76.9568,114
49.5625,1,114,4,114,114.2105,112,116,0.8,0.6667,38,102.17,73.5656,113
51.725,0,124,2,115,115.2195,114,116,2.1625,0.6667,41,102.6467,72.1851,114
53.55,0,126,2,113,113.1707,112,114,1.825,0.6667,41,102.68,71.1734,112
56.6125,0,111,4,111,111.1395,109,113,3.0625,0.5,43,102.0433,70.6711,111
57.25,0,144,2,110,110.0952,109,111,0.6375,0.5,42,101.38,70.2225,110
59.825,1,134,2,109,109.087,108,110,2.575,0.5,46,100.2067,70.1623,109
59.85,1,116,7,107.5,107.8182,104,111,0.025,0.25,44,99.3033,69.949,108
60.0875,1,121,7,107.5,107.9268,104,111,0.2375,0.25,41,98.4,69.7613,111
60.25,1,106,9,105.5,106.0488,101,110,0.1625,0.5,41,98.83,68.6698,104
62.6625,1,101,10,101,101.122,96,106,2.4125,0.5,41,97.1267,69.1297,101
65,1,96,10,93,93.2778,88,98,2.3375,0.5,36,94.8367,70.1265,96
65.9375,0,101,4,96,96.2222,94,98,0.9375,0.5,36,90.38,72.87,97
66.5625,1,119,15,103.5,104.3333,96,111,0.625,0.5,36,88.4033,73.7303,98
67.525,1,147,19,106.5,107.2703,97,116,0.9625,0.6667,37,87.6867,73.566,111
