Trading_time,Is_it_best_bid_or_ask,The_price_of_the_customer_order,bid_ask_spread,mid_price,micro_price,best_bid,best_ask,time_elapsed,LOB_imbalance,total_quantity_of_all_quotes,p*,Smith's_metric,Trading_price
2.825,0,96,-107,54.5,43.8,1,108,0,0.5,5,0,0,68
3.9625,0,126,-94,61,40.8571,14,108,1.1375,0.5,7,0,0,67
7.6375,0,85,-7,73.5,72.5455,70,77,3.675,0.5,11,0,0,72
10.3125,1,78,-33,91.5,87.375,75,108,2.675,0.5,16,62.46,31.3166,77
12.675,0,114,-31,91.5,87.8095,76,107,2.3625,0.5,21,65.3567,31.3514,103
13.075,1,139,-31,92.5,91.8261,77,108,0.4,0.5,23,76.8733,27.2594,107
13.9125,0,83,-32,92,92,76,108,0.8375,0.5,22,87.3567,23.7909,78
14.1875,1,142,-36,90,89.2174,72,108,0.275,0.75,23,85.91,23.3999,76
14.6125,1,119,-37,90.5,89.619,72,109,0.425,0.75,21,77.6233,25.0606,108
14.9875,0,75,-37,90.5,89.5263,72,109,0.375,0.5,19,79.86,23.566,74
15.825,1,144,-46,95,91.7143,72,118,0.8375,0.5,21,77.5867,23.6435,109
23.4875,0,150,-10,99,98.2857,94,104,7.6625,0.5,28,87.6933,20.8704,102
23.65,1,147,-12,97,95.9655,91,103,0.1625,0.5,29,86.68,20.7867,94
24.8875,0,129,-5,93.5,93.1875,91,96,1.2375,0.5,32,91.3633,19.2478,94
25.35,0,134,-5,93.5,93.1667,91,96,0.4625,0.5,30,87.0733,19.7223,95
25.8375,0,121,-3,94.5,94.3548,93,96,0.4875,0.5,31,85.2467,19.7344,95
26.5625,0,101,-17,102.5,102,94,111,0.725,0.5,34,85.5467,19.679,95
29,1,124,-18,109,108.2703,100,118,2.4375,0.5,37,85.8167,20.011,111
30.5125,0,108,-10,106,105.878,101,111,1.5125,0.5,41,91.15,18.9268,104
30.625,1,103,-11,105.5,105.359,100,111,0.1125,0.5,39,93.6167,18.423,101
31.4125,0,132,-8,105,104.8,101,109,0.7875,0.5,40,94.8367,18.115,102
32.85,0,116,-4,106,105.8889,104,108,1.4375,0.5,36,92.38,18.5453,107
33.475,0,111,-13,111.5,111.303,105,118,0.625,0.5,33,93.5367,18.4971,106
